id_cliente,nome,data_nascimento,genero,cidade_residencia,estado_residencia,profissao,renda_mensal,nivel_educacional,qtd_dependentes,data_cadastro
C00030,Sophie Moraes,2006-12-19,Feminino,Londrina,PR,Oftalmologista,5557.43,Médio,1,2025-05-28
C00031,Sr. Rodrigo Peixoto,1976-12-03,Feminino,Londrina,PR,Classificador contábil,3181.82,Fundamental,2,2024-02-09
C00032,Sra. Eduarda Gomes,1964-02-21,Masculino,Londrina,PR,Gestor de tecnologia da informação,4327.56,Médio,0,2022-07-16
C00033,Bruno Moraes,1969-08-05,Outro,Londrina,PR,Astrônomo,9309.96,Fundamental,4,2021-01-31
C00034,Emilly Costela,1969-10-26,Feminino,Londrina,PR,Psicomotricista,12523.94,Pós,1,2023-08-12
C00035,Pietro Almeida,1980-07-02,Feminino,Londrina,PR,Encanador,19464.95,Fundamental,2,2021-07-30
C00036,Dra. Brenda Lopes,1960-12-16,Outro,Londrina,PR,Capelão,3619.21,Técnico,0,2023-09-03
C00037,Augusto Pereira,2006-02-04,Feminino,Londrina,PR,Editor de mesa de corte,15719.08,Superior,1,2025-04-28
C00038,Alícia Gonçalves,1954-05-10,Feminino,Londrina,PR,Moldureiro,9543.16,Pós,3,2023-11-08
C00039,Dr. Francisco Duarte,1948-09-27,Outro,Londrina,PR,Técnico em radiologia,17703.28,Superior,0,2020-10-09
C00040,Dr. Rodrigo Silva,1967-04-04,Outro,Londrina,PR,Tecnólogo em papel e celulose,15596.3,Técnico,4,2024-03-08
C00041,Julia Souza,1991-09-27,Masculino,Londrina,PR,Ciclista,17604.59,Superior,2,2024-01-27
C00042,Júlia Jesus,1995-08-07,Outro,Londrina,PR,Epidemiólogo,10891.76,Médio,0,2021-07-22
C00043,Arthur Caldeira,1965-07-02,Feminino,Londrina,PR,Endocrinologista,15606.45,Técnico,0,2024-03-19
C00044,Sr. Vitor Hugo Ferreira,1956-09-05,Outro,Londrina,PR,Epidemiólogo,18492.13,Técnico,1,2021-04-11
C00045,João Guilherme Mendes,1950-09-26,Feminino,Londrina,PR,Guardador de veículos,1860.32,Superior,2,2025-04-07
C00046,Maria Eduarda Carvalho,1967-06-14,Feminino,Londrina,PR,Piloto automobilístico,5929.87,Médio,2,2022-01-18
C00047,Sra. Sarah Silveira,1982-05-11,Outro,Londrina,PR,Gagsman,19018.56,Fundamental,0,2024-01-23
C00048,Dr. Francisco Pinto,1972-03-22,Feminino,Londrina,PR,Implantodontista,16596.43,Técnico,1,2025-06-01
C00049,Igor da Mota,1988-03-29,Masculino,Londrina,PR,Cobrador de pedágio,3875.24,Pós,5,2021-06-28
C00050,Caio da Cunha,1948-12-31,Outro,Londrina,PR,Síndico,4554.85,Técnico,4,2025-02-18
C00051,Luiz Fernando da Conceição,1951-12-04,Outro,Londrina,PR,Transcritor,9328.05,Médio,0,2020-09-09
C00052,Gustavo Aragão,1954-05-24,Outro,Londrina,PR,Barbeiro,15472.41,Médio,1,2022-04-11
C00053,Vinicius da Mota,1995-01-04,Feminino,Londrina,PR,Ginasta rítmica,8881.36,Superior,2,2021-06-29
C00054,Kevin Costa,2000-05-28,Outro,Londrina,PR,Motorista,9852.49,Médio,1,2022-12-14
C00055,Ana Luiza Lopes,1991-12-12,Masculino,Londrina,PR,Artista de circo,7754.58,Técnico,0,2021-07-18
C00056,Ana Sophia da Paz,1952-10-30,Masculino,Londrina,PR,Técnico em arquivo,12386.14,Fundamental,0,2021-06-02
C00057,Luiz Otávio Rocha,1960-10-27,Outro,Londrina,PR,Economista doméstico,13175.4,Médio,2,2022-05-06
C00058,Luiza Jesus,1987-12-14,Masculino,Londrina,PR,Nefrologista,17403.25,Fundamental,2,2022-03-24
C00059,Sr. João Miguel Moraes,1945-02-02,Masculino,Londrina,PR,Tecnólogo em papel e celulose,6651.83,Pós,3,2021-04-09
C00060,Clarice da Paz,1997-05-11,Outro,Londrina,PR,Pintor,3947.77,Técnico,1,2021-04-28
C00061,Sra. Alana Santos,2002-02-28,Feminino,Londrina,PR,Enfermeiro,5995.45,Pós,0,2024-11-22
C00062,Juan Moura,1976-12-02,Feminino,Londrina,PR,Analista de sistemas,5022.58,Fundamental,2,2021-02-03
C00063,Maria Nunes,1994-04-08,Feminino,Londrina,PR,Assistente administrativo,8054.5,Pós,2,2021-07-28
C00064,Lara da Paz,2007-06-08,Outro,Londrina,PR,Enfermeiro,2502.17,Fundamental,0,2024-06-02
C00065,Vitor Hugo Barros,1998-10-16,Feminino,Londrina,PR,Clap loader,14971.95,Fundamental,2,2023-05-01
C00066,Dr. Vitor Gabriel Novaes,1993-03-08,Masculino,Londrina,PR,Flautista,5018.86,Pós,2,2025-06-18
C00067,Antônio Cunha,1948-02-25,Feminino,Londrina,PR,Co-piloto,4894.53,Pós,2,2021-01-07
C00068,Ana Rodrigues,1951-04-29,Masculino,Londrina,PR,Assessor parlamentar,9697.92,Técnico,2,2020-10-12
C00069,Bernardo da Conceição,1984-04-24,Masculino,Londrina,PR,Fisiculturista,13564.68,Técnico,2,2020-10-05
C00070,Milena Souza,1997-02-06,Masculino,Londrina,PR,Odontologista legal,19426.43,Médio,0,2022-12-28
C00071,Caio Fogaça,2002-11-19,Feminino,Londrina,PR,Selecionador de pessoal,10484.36,Médio,2,2024-02-14
C00072,Marcelo Araújo,1958-12-12,Feminino,Londrina,PR,Pneumologista,18195.19,Médio,1,2020-11-10
C00073,Francisco Rocha,1964-10-27,Masculino,Londrina,PR,Piloto automobilístico,19728.21,Superior,1,2023-05-29
C00074,Kevin Carvalho,1952-05-15,Feminino,Londrina,PR,Pecuarista,6777.11,Técnico,3,2021-06-10
C00075,Eduardo Gonçalves,1948-10-23,Outro,Londrina,PR,Ilustrador,10503.42,Médio,1,2021-01-17
C00076,Julia da Mata,1987-03-23,Masculino,Londrina,PR,Empacotador,19421.12,Técnico,2,2021-06-24
C00077,Srta. Maria Vitória Nunes,1956-06-24,Outro,Londrina,PR,Designer gráfico,2627.72,Superior,3,2021-10-04
C00078,Heloísa da Conceição,1992-08-10,Masculino,Londrina,PR,Datilógrafo,12307.29,Técnico,1,2023-05-13
C00079,Antônio Rezende,2004-08-12,Outro,Londrina,PR,Rebarbador de metal,4412.51,Técnico,3,2021-02-19
C00080,Diego Alves,2002-01-13,Masculino,Londrina,PR,Notário,2767.64,Fundamental,3,2022-07-06
C00081,Luiz Felipe Gomes,1950-10-10,Masculino,Londrina,PR,Lutador de taekwondo,8969.85,Técnico,2,2022-05-11
C00082,Emanuelly Gomes,1944-09-19,Outro,Londrina,PR,Tecnólogo em produção Sucroalcooleira,12498.6,Técnico,0,2024-09-14
C00083,Carlos Eduardo da Mata,1968-05-07,Feminino,Londrina,PR,Clínico geral,13661.4,Técnico,2,2024-06-29
C00084,Yuri Porto,1975-02-23,Feminino,Londrina,PR,Gestor ambiental,18792.07,Médio,0,2021-11-14
C00085,Pedro Miguel Gonçalves,2006-04-24,Outro,Londrina,PR,Tradutor,7312.4,Superior,1,2024-02-11
C00086,Larissa Nunes,2005-09-12,Masculino,Londrina,PR,Tesoureiro,13926.27,Superior,0,2023-01-19
C00087,Joaquim Cunha,2006-02-16,Feminino,Londrina,PR,Tintureiro,18686.84,Fundamental,3,2023-10-17
C00088,Ryan Fogaça,1947-09-12,Feminino,Londrina,PR,Adestrador de animais,12991.45,Técnico,1,2021-12-24
C00089,Emanuel Dias,1987-11-09,Masculino,Londrina,PR,Transcritor,11446.24,Técnico,2,2024-10-26
C00090,Carolina da Paz,2006-08-27,Masculino,Londrina,PR,Chapeiro,18765.3,Fundamental,3,2022-09-12
C00091,Joana Peixoto,2000-02-13,Masculino,Londrina,PR,Motorista,8336.25,Médio,1,2022-03-13
C00092,Pedro Viana,1955-06-24,Outro,Londrina,PR,Governador,14515.49,Técnico,2,2023-10-24
C00093,Sr. Arthur Porto,1964-08-10,Outro,Londrina,PR,Engenheiro de computação,11285.4,Técnico,4,2022-10-02
C00094,Rodrigo Almeida,1992-05-28,Outro,Londrina,PR,Homeopata,3416.35,Médio,1,2024-11-27
C00095,Enzo Gabriel Fogaça,1961-01-20,Masculino,Londrina,PR,Nutricionista,17959.69,Técnico,1,2022-08-25
C00096,Luiz Felipe Almeida,1976-02-29,Feminino,Londrina,PR,Arquivista,6712.49,Médio,0,2021-10-02
C00097,Luiz Gustavo da Mata,2003-06-16,Feminino,Londrina,PR,Advogado,5266.55,Superior,1,2022-05-07
C00098,Sophie Peixoto,1973-03-22,Feminino,Londrina,PR,Mensageiro,6145.74,Fundamental,4,2020-10-08
C00099,Dr. Enzo Gabriel Duarte,1962-07-01,Outro,Londrina,PR,Arrumadeira,9336.15,Superior,5,2024-02-13
C00100,Dr. Gustavo Henrique Teixeira,1999-11-14,Masculino,Londrina,PR,Engenheiro elétrico,7670.8,Médio,2,2024-09-16
C00101,Gustavo Henrique Aragão,1981-12-30,Feminino,Londrina,PR,Técnico tributarista,4489.27,Pós,0,2023-09-26
C00102,Eloah Santos,1977-09-15,Outro,Londrina,PR,Vereador,9412.21,Fundamental,3,2021-05-16
C00103,Vinicius Rezende,1979-03-31,Masculino,Londrina,PR,Xilógrafo,18983.44,Médio,0,2022-05-07
C00104,Vitor Hugo Oliveira,1960-02-09,Masculino,Londrina,PR,Caixa,16940.01,Técnico,2,2021-02-21
C00105,Dra. Rebeca Santos,1972-03-31,Masculino,Londrina,PR,Escoteiro,9451.05,Fundamental,4,2024-03-01
C00106,Erick Castro,2006-06-27,Feminino,Londrina,PR,Garçom,18131.16,Fundamental,1,2024-09-20
C00107,Mariana Cardoso,1959-01-15,Feminino,Londrina,PR,Lavador,5386.42,Médio,5,2020-08-24
C00108,Caio Costa,1968-04-29,Masculino,Londrina,PR,Grafologista,8043.05,Técnico,5,2021-09-23
C00109,Maria Cecília Rodrigues,1944-07-14,Feminino,Londrina,PR,Tecnólogo em negócios imobiliários,19515.98,Médio,1,2021-08-13
C00110,Kaique Pinto,1961-09-23,Masculino,Londrina,PR,Odontologista legal,17495.21,Médio,1,2025-04-15
C00111,Lavínia Gonçalves,1995-07-18,Feminino,Londrina,PR,Ascensorista,1958.55,Superior,2,2023-06-14
C00112,Juliana Ferreira,1997-07-17,Feminino,Londrina,PR,Transcritor,16341.35,Médio,1,2020-12-17
C00113,Isadora Fernandes,1980-02-04,Masculino,Londrina,PR,Revendedor,16066.43,Fundamental,0,2021-12-07
C00114,Caio Dias,1999-12-17,Masculino,Londrina,PR,Tecnólogo em desenvolvimento social,17383.98,Médio,2,2024-07-17
C00115,Giovanna da Mata,1989-12-08,Feminino,Londrina,PR,Geofísico,7968.68,Médio,2,2023-05-30
C00116,Pietro Rezende,1985-12-20,Masculino,Londrina,PR,Profissional de relacionamento com investidores RI,13710.61,Pós,1,2022-03-13
C00117,Sabrina da Rosa,1996-11-29,Feminino,Londrina,PR,Médico legista,17490.53,Superior,0,2024-11-11
C00118,Davi Luiz Fogaça,1957-04-13,Outro,Londrina,PR,Coloproctologista,10924.0,Técnico,2,2025-06-18
C00119,Dra. Bárbara Porto,1989-05-13,Masculino,Londrina,PR,Cartazeiro,3633.82,Superior,3,2023-05-09
C00120,Marcela Aragão,1973-10-22,Outro,Londrina,PR,Eletricista de automóveis,19306.88,Superior,1,2025-07-05
C00121,Dra. Maria Luiza Alves,1944-08-25,Masculino,Londrina,PR,Recepcionista,12536.57,Superior,1,2024-02-09
C00122,Sr. Nathan da Rosa,1983-11-18,Feminino,Londrina,PR,Consultor de moda,9573.29,Técnico,0,2024-05-31
C00123,Maria Clara Fogaça,1971-12-21,Feminino,Londrina,PR,Profissional de relacionamento com investidores RI,18140.84,Médio,4,2021-12-17
C00124,Srta. Maria das Neves,1950-09-14,Masculino,Londrina,PR,Supervisor,14612.53,Fundamental,0,2025-06-17
C00125,Maysa Ferreira,1966-02-14,Outro,Londrina,PR,Segurança particular,14206.86,Médio,1,2020-12-17
C00126,Francisco Dias,1971-08-04,Feminino,Londrina,PR,Restaurador,2794.52,Superior,2,2025-06-30
C00127,Fernanda Costela,1968-04-29,Feminino,Londrina,PR,Investigador particular,13772.67,Fundamental,4,2024-11-16
C00128,Emanuel Mendes,1976-01-18,Feminino,Londrina,PR,Engenheiro naval,10881.77,Pós,1,2021-11-26
C00129,Rafaela Oliveira,1996-03-13,Feminino,Londrina,PR,Músico,14398.36,Técnico,1,2022-01-27
C00130,Isis Costa,1996-04-04,Masculino,Londrina,PR,Administrador público,9278.26,Pós,0,2021-01-14
C00131,Anthony Azevedo,2004-08-19,Outro,Londrina,PR,Clínico geral,18201.9,Técnico,0,2023-04-01
C00132,Vicente Correia,1972-11-04,Feminino,Londrina,PR,Arquiteto,9012.39,Fundamental,0,2020-08-08
C00133,Laís Santos,1963-04-23,Feminino,Londrina,PR,Engenheiro de petróleo,5388.38,Técnico,3,2020-07-19
C00134,Giovanna Farias,1971-05-31,Outro,Londrina,PR,Endocrinologista,7461.61,Pós,2,2023-05-20
C00135,Maysa Souza,1972-12-14,Outro,Londrina,PR,Engenheiro químico,5453.48,Pós,1,2022-01-01
C00136,Pedro Lucas Moura,1962-05-04,Outro,Londrina,PR,Projetista mecânico,4639.29,Fundamental,2,2024-07-07
C00137,Maria Fernanda Rezende,1966-07-05,Outro,Londrina,PR,Supervisor,13781.3,Técnico,2,2022-03-05
C00138,Vitor Sales,1969-08-27,Masculino,Londrina,PR,Microfonista,16640.83,Médio,2,2025-05-12
C00139,Amanda Cunha,1972-02-01,Feminino,Londrina,PR,Capoeirista,5655.85,Médio,0,2024-05-03
C00140,Enzo Castro,1951-06-15,Masculino,Londrina,PR,Portuário,2354.95,Pós,1,2023-09-01
C00141,Gabrielly Pinto,1988-11-30,Masculino,Londrina,PR,Motofrete,9925.2,Técnico,3,2021-10-13
C00142,André Silva,1989-07-20,Outro,Londrina,PR,Jogador de badminton,14382.55,Pós,2,2021-01-14
C00143,Alexandre Alves,2004-03-02,Masculino,Londrina,PR,Técnico em óptica,4230.07,Fundamental,4,2025-04-18
C00144,Maria Fernanda Araújo,1959-07-01,Masculino,Londrina,PR,Engenheiro de transportes,15900.78,Médio,0,2023-12-14
C00145,Valentina Rodrigues,1986-11-07,Outro,Londrina,PR,Matemático,11082.22,Fundamental,0,2024-12-05
C00146,Maitê da Costa,1999-10-30,Masculino,Londrina,PR,Matemático,18473.2,Fundamental,0,2021-11-03
C00147,Rebeca das Neves,1995-09-23,Masculino,Londrina,PR,Assistente de câmera,16326.21,Técnico,0,2024-08-05
C00148,Fernanda Cavalcanti,1965-12-20,Outro,Londrina,PR,Clínico geral,7370.01,Pós,1,2020-07-16
C00149,Caroline Campos,1958-01-03,Outro,Londrina,PR,Atleta de arremesso de peso,18002.38,Pós,2,2022-08-05
C00150,Sr. Rodrigo Cunha,1961-02-14,Outro,Londrina,PR,Nefrologista,9749.4,Médio,2,2025-06-30
C00151,Carlos Eduardo da Paz,1981-04-19,Feminino,Londrina,PR,Profissional de comércio exterior,9826.29,Médio,5,2024-04-08
C00152,Thomas Barros,1990-09-15,Outro,Londrina,PR,Profissional de cinema,6630.26,Técnico,0,2022-09-04
C00153,Srta. Alícia Fernandes,1948-04-24,Outro,Londrina,PR,Violonista,5926.05,Pós,4,2024-08-30
C00154,Dr. Danilo Gonçalves,1949-10-07,Outro,Londrina,PR,Operador de telemarketing,6785.97,Superior,3,2021-09-04
C00155,Dra. Maria Vitória Martins,1985-12-01,Feminino,Londrina,PR,Defensor Público,18021.0,Fundamental,3,2021-01-16
C00156,Sr. Ryan Caldeira,1993-12-26,Masculino,Londrina,PR,Assistente social,5778.34,Médio,3,2023-05-12
C00157,Marcos Vinicius Cunha,1955-11-05,Masculino,Londrina,PR,Dentista,2688.23,Pós,2,2025-06-10
C00158,Ana Julia da Cunha,2006-01-06,Outro,Londrina,PR,Engenheiro acústico,10119.6,Fundamental,1,2022-09-08
C00159,Gabrielly Lima,1976-12-29,Feminino,Londrina,PR,Chargista,8705.32,Técnico,3,2024-05-21
C00160,Brenda da Mata,2005-07-31,Outro,Londrina,PR,Bailarina,1861.34,Técnico,2,2021-09-05
C00161,Felipe Sales,1964-12-20,Feminino,Londrina,PR,Plastimodelista,1609.08,Superior,1,2020-09-24
C00162,Isabella Vieira,1951-08-26,Feminino,Londrina,PR,Tenista,17288.79,Pós,3,2025-04-26
C00163,Sarah da Conceição,2000-06-27,Outro,Londrina,PR,Diplomata,15090.73,Técnico,1,2024-05-09
C00164,João Lucas Fernandes,2001-06-09,Masculino,Londrina,PR,Adestrador de animais,10532.25,Superior,2,2021-04-20
C00165,João Felipe da Rocha,1997-11-30,Feminino,Londrina,PR,Portuário,2036.96,Superior,1,2023-02-11
C00166,Maria Cecília da Cruz,1978-05-16,Outro,Londrina,PR,Faturista,16265.63,Médio,0,2024-04-29
C00167,Beatriz Rodrigues,1970-07-01,Feminino,Londrina,PR,Radiologista,18511.52,Técnico,2,2024-10-24
C00168,Sr. Lucas Ribeiro,2003-11-14,Masculino,Londrina,PR,Regente,18278.18,Técnico,0,2021-04-21
C00169,Maria Sophia da Rosa,1973-09-12,Outro,Londrina,PR,Técnico em aviação,2001.39,Pós,1,2021-02-09
C00170,João Pedro Mendes,1994-04-07,Feminino,Londrina,PR,Motorista,4861.99,Superior,2,2022-04-03
C00171,Leandro Cardoso,1974-03-10,Feminino,Londrina,PR,Profissional de comércio exterior,5415.72,Superior,0,2022-03-02
C00172,Ana Beatriz Cavalcanti,2001-06-17,Feminino,Londrina,PR,Gastroenterologista,6647.75,Pós,2,2023-08-25
C00173,João Miguel Lima,1969-06-21,Masculino,Londrina,PR,Montador de negativos,10200.68,Técnico,4,2022-06-11
C00174,Nicole Martins,1949-04-09,Feminino,Londrina,PR,Zelador,5648.11,Fundamental,0,2024-09-13
C00175,Sr. Henrique Silveira,1970-06-02,Outro,Londrina,PR,Editor de mesa de corte,2244.78,Fundamental,2,2023-03-24
C00176,Gustavo Gonçalves,1960-07-15,Masculino,Londrina,PR,Camelô,5188.17,Fundamental,1,2022-04-05
C00177,Kaique Peixoto,1969-08-25,Masculino,Londrina,PR,Engenheiro de petróleo,5913.08,Pós,1,2024-06-09
C00178,Srta. Elisa Silveira,1968-07-31,Masculino,Londrina,PR,Dublê,11933.44,Médio,1,2023-03-29
C00179,Luiz Henrique Cavalcanti,1948-05-16,Outro,Londrina,PR,Neonatologista,6240.51,Superior,0,2025-03-02
C00180,Isabel Ramos,1948-04-16,Outro,Londrina,PR,Profissional de linguística,12734.08,Fundamental,0,2022-02-25
C00181,Augusto Rodrigues,1950-09-05,Masculino,Londrina,PR,Educador,19347.33,Fundamental,4,2022-12-30
C00182,Nicole Nogueira,2003-06-26,Masculino,Londrina,PR,Político,18684.41,Técnico,2,2020-07-21
C00183,João Pedro da Rosa,1995-04-15,Feminino,Londrina,PR,Somelier,8838.11,Médio,1,2022-01-31
C00184,Gabrielly Pinto,1977-03-14,Outro,Londrina,PR,Procurador de justiça,14276.37,Médio,1,2023-06-04
C00185,Eduardo Oliveira,2003-02-13,Outro,Londrina,PR,Cirurgião bucal,15790.9,Técnico,3,2021-01-18
C00186,Julia Costa,1962-01-28,Masculino,Londrina,PR,Psicomotricista,16230.2,Técnico,3,2021-06-18
C00187,Stephany Pereira,1997-06-17,Masculino,Londrina,PR,Tecnólogo em geoprocessamento,7923.27,Pós,2,2023-06-10
C00188,Sra. Milena Rodrigues,1975-04-25,Feminino,Londrina,PR,Editor de mesa de corte,2775.7,Superior,2,2021-12-03
C00189,Srta. Bianca Teixeira,1998-07-31,Feminino,Londrina,PR,Técnico em agropecuária,16713.12,Fundamental,3,2024-08-19
C00190,Emanuella Fogaça,2004-11-22,Feminino,Londrina,PR,Aeronauta,13258.32,Pós,1,2020-07-11
C00191,Maria Fernanda Cardoso,1953-05-28,Masculino,Londrina,PR,Governador,9556.51,Técnico,0,2022-12-27
C00192,Vitor Hugo Barros,1962-03-13,Outro,Londrina,PR,Astrólogo,6496.52,Técnico,1,2020-08-05
C00193,Pietro Gomes,1976-12-25,Feminino,Londrina,PR,Lavador,10100.16,Técnico,1,2022-12-27
C00194,Sra. Juliana Silva,1979-09-04,Feminino,Londrina,PR,Maestro,17256.69,Fundamental,4,2021-08-11
C00195,Milena da Mata,1959-01-13,Feminino,Londrina,PR,Leão de chácara,6011.47,Pós,2,2022-04-06
C00196,Dr. Bryan Mendes,1975-03-17,Outro,Londrina,PR,Engenheiro de ergonomia,13861.49,Superior,5,2025-05-12
C00197,Dr. Antônio Moraes,1991-05-08,Feminino,Londrina,PR,Coordenador,17242.63,Médio,2,2021-03-25
C00198,Ian Carvalho,1996-09-21,Masculino,Londrina,PR,Escritor,8064.26,Superior,0,2024-06-10
C00199,Samuel Castro,1970-03-29,Feminino,Londrina,PR,Diagramador,17785.92,Superior,3,2024-07-23
C00200,Vitor Freitas,1983-02-27,Masculino,Londrina,PR,Otorrinolaringologista,11057.6,Médio,2,2023-09-11
C00201,Daniela Barbosa,1982-01-28,Masculino,Londrina,PR,Cenógrafo,14821.38,Pós,3,2024-07-31
C00202,Kamilly Correia,1952-12-18,Masculino,Londrina,PR,Administrador,14276.27,Pós,1,2022-02-12
C00203,Srta. Rafaela Duarte,1995-06-13,Masculino,Londrina,PR,Coronel,3221.49,Médio,8,2022-02-01
C00204,Nicolas Costa,1965-05-06,Outro,Londrina,PR,Toxicologista,6001.15,Técnico,1,2024-05-28
C00205,Luiz Fernando Azevedo,1946-09-17,Feminino,Londrina,PR,Odontopediatra,11739.25,Superior,2,2021-04-04
C00206,Luna Barbosa,1956-01-18,Outro,Londrina,PR,Tabelião,11682.19,Superior,2,2022-03-13
C00207,Caio Barros,1981-12-18,Feminino,Londrina,PR,Encarregado de manutenção predial,6511.95,Superior,0,2021-11-07
C00208,Helena Alves,2002-09-26,Masculino,Londrina,PR,Engenheiro de projetos,14843.76,Superior,3,2025-06-23
C00209,Yago Ribeiro,2007-04-02,Outro,Londrina,PR,Lactarista hospitalar,11413.48,Médio,4,2022-05-11
C00210,Letícia Correia,2001-08-09,Masculino,Londrina,PR,Homeopata,15164.19,Superior,0,2025-01-03
C00211,Gabriela Moraes,1967-09-09,Outro,Londrina,PR,Engenheiro de iluminação,19567.23,Técnico,0,2023-06-18
C00212,Thomas Pires,2003-04-21,Feminino,Londrina,PR,Agrônomo,19639.45,Médio,3,2022-01-24
C00213,Lavínia Costa,1947-11-04,Masculino,Londrina,PR,Marcador de luz,8176.3,Superior,0,2023-02-27
C00214,Murilo Barbosa,2006-04-08,Outro,Londrina,PR,Cientista,11381.5,Superior,0,2021-03-31
C00215,João Gabriel Farias,1946-08-18,Masculino,Londrina,PR,Gourmet,11737.14,Médio,1,2020-11-17
C00216,Dr. João Guilherme Almeida,1978-07-11,Feminino,Londrina,PR,Antropólogo,3397.87,Fundamental,1,2021-12-22
C00217,Larissa Silva,1954-02-13,Feminino,Londrina,PR,Camelô,10183.84,Pós,2,2024-11-13
C00218,Yago Costela,1998-10-18,Masculino,Londrina,PR,Consultor,19361.71,Superior,2,2022-08-28
C00219,Yago da Mata,1988-07-25,Feminino,Londrina,PR,Penhorista,3610.61,Fundamental,2,2021-03-16
C00220,Cecília Viana,2004-03-18,Feminino,Londrina,PR,Pediatra,2870.52,Fundamental,2,2024-04-03
C00221,Lorena Almeida,1953-08-18,Masculino,Londrina,PR,Consultor,16506.13,Superior,2,2024-09-04
C00222,Maria Cardoso,1980-08-02,Masculino,Londrina,PR,Produtor fonográfico,3691.35,Pós,1,2024-06-29
C00223,Sr. Breno Rodrigues,1971-10-27,Outro,Londrina,PR,Petroleiro,16128.71,Médio,1,2020-11-10
C00224,Isabella Mendes,1962-04-14,Outro,Londrina,PR,Guarda ou policial rodoviário,8536.99,Pós,0,2023-05-31
C00225,Joana Mendes,1945-05-17,Outro,Londrina,PR,Cineasta,19815.58,Superior,0,2024-12-03
C00226,Stephany das Neves,1991-01-25,Outro,Londrina,PR,Empresário,2614.26,Fundamental,0,2021-01-02
C00227,Alexandre Oliveira,1999-08-28,Masculino,Londrina,PR,Arrumadeira,13072.03,Superior,0,2021-12-27
